Time(s);IntInt
0.00;0.11
3.00;0.04
6.00;0.04
9.00;0.07
12.00;0.02
15.00;0.00
18.00;0.04
21.00;0.12
24.00;0.73
27.00;0.00
30.00;0.12
33.00;0.05
36.00;0.09
39.00;0.05
42.00;0.06
45.00;0.06
48.00;0.09
51.00;0.05
54.00;0.05
57.00;0.09
60.00;0.00
63.00;0.04
66.00;0.16
69.00;0.08
72.00;0.02
75.00;0.00
78.00;0.02
81.00;0.07
84.00;0.07
87.00;0.00
90.00;0.03
93.00;0.04
96.00;0.19
99.00;0.15
102.00;0.50
105.00;0.13
108.00;0.35
111.00;0.31
114.00;0.23
117.00;0.20
120.00;0.28
123.00;0.77
126.00;0.40
129.00;0.31
132.00;0.54
135.00;0.35
138.00;0.55
141.00;0.55
144.00;0.19
147.00;0.72
150.00;0.73
153.00;0.59
156.00;0.47
159.00;0.59
162.00;0.66
165.00;0.86
168.00;0.63
171.00;0.57
174.00;0.76
177.00;0.77
180.00;0.69
183.00;0.78
186.00;0.68
189.00;0.88
192.00;1.17
195.00;1.10
198.00;1.05
201.00;0.93
204.00;0.97
207.00;0.55
210.00;0.73
213.00;1.00
216.00;1.21
219.00;0.83
222.00;1.22
225.00;1.14
228.00;0.51
231.00;0.05
234.00;0.39
237.00;1.10
240.00;1.42
243.00;1.08
246.00;1.57
249.00;1.12
252.00;1.42
255.00;1.26
258.00;1.15
261.00;1.19
264.00;1.15
267.00;1.13
270.00;0.86
273.00;1.41
276.00;1.12
279.00;1.11
282.00;1.13
285.00;0.88
288.00;1.05
291.00;1.55
294.00;1.23
297.00;1.19
300.00;1.11
303.00;1.38
306.00;1.23
309.00;2.14
312.00;1.88
315.00;1.08
318.00;1.12
321.00;0.95
324.00;1.21
327.00;0.63
330.00;0.63
333.00;0.61
336.00;0.79
339.00;0.38
342.00;0.28
345.00;0.85
348.00;0.26
351.00;0.66
354.00;0.83
357.00;0.75
360.00;1.48
363.00;0.42
366.00;1.19
369.00;0.17
372.00;0.33
375.00;0.58
378.00;0.88
381.00;0.76
384.00;0.81
387.00;0.97
390.00;0.38
393.00;0.12
396.00;0.00
399.00;0.13
402.00;0.11
405.00;0.09
408.00;0.00
411.00;0.04
414.00;0.21
417.00;0.00
420.00;0.06
423.00;0.16
426.00;0.16
429.00;0.01
432.00;0.08
435.00;0.00
438.00;0.09
441.00;0.00
444.00;0.04
447.00;0.13
450.00;0.05
453.00;0.05
456.00;0.11
459.00;0.07
462.00;0.02
465.00;0.10
468.00;0.47
471.00;0.52
474.00;0.63
477.00;0.39
480.00;0.78
483.00;0.70
486.00;0.81
489.00;0.91
492.00;0.65
495.00;0.70
498.00;0.65
501.00;0.61
504.00;0.78
507.00;0.85
510.00;0.45
513.00;0.48
516.00;0.51
519.00;0.60
522.00;0.98
525.00;0.97
528.00;0.85
531.00;1.03
534.00;0.96
537.00;0.76
540.00;1.30
543.00;1.32
546.00;1.23
549.00;1.37
552.00;1.39
555.00;1.17
558.00;1.78
561.00;1.46
564.00;1.54
567.00;1.37
570.00;1.26
573.00;1.34
576.00;1.18
579.00;1.57
582.00;1.59
585.00;1.69
588.00;1.67
591.00;2.00
594.00;2.05
597.00;1.85
600.00;2.28
603.00;2.77
606.00;2.65
609.00;2.65
612.00;2.94
615.00;3.32
618.00;3.30
621.00;3.50
624.00;3.76
627.00;3.55
630.00;3.64
633.00;3.23
636.00;3.20
639.00;3.17
642.00;3.20
645.00;4.06
648.00;4.46
651.00;4.79
654.00;4.52
657.00;5.15
660.00;5.57
663.00;5.84
666.00;5.82
669.00;6.07
672.00;6.65
675.00;7.30
678.00;7.31
681.00;7.77
684.00;6.94
687.00;7.37
690.00;8.47
693.00;8.81
696.00;9.00
699.00;8.71
702.00;9.20
705.00;9.64
708.00;9.33
711.00;9.58
714.00;10.58
717.00;10.29
720.00;9.95
723.00;11.42
726.00;10.85
729.00;11.09
732.00;10.88
735.00;10.67
738.00;11.54
741.00;12.14
744.00;12.64
747.00;12.43
750.00;12.32
753.00;12.75
756.00;11.46
759.00;12.38
762.00;12.03
765.00;12.53
768.00;11.45
771.00;11.66
774.00;11.07
777.00;11.38
780.00;9.97
783.00;12.07
786.00;11.14
789.00;13.46
792.00;12.77
795.00;11.92
798.00;13.50
801.00;13.01
804.00;13.01
807.00;14.46
810.00;14.31
813.00;15.21
816.00;14.49
819.00;15.70
822.00;14.92
825.00;16.04
828.00;16.02
831.00;16.58
834.00;15.26
837.00;14.81
840.00;13.61
843.00;12.73
846.00;12.91
849.00;13.18
852.00;13.69
855.00;14.12
858.00;13.36
861.00;13.45
864.00;12.29
867.00;11.52
870.00;10.55
873.00;11.66
876.00;11.57
879.00;11.94
882.00;11.02
885.00;10.17
888.00;9.74
891.00;9.98
894.00;10.71
897.00;10.91
900.00;10.68
903.00;10.87
906.00;12.30
909.00;11.80
912.00;10.62
915.00;11.43
918.00;9.53
921.00;10.03
924.00;10.01
927.00;8.70
930.00;9.32
933.00;8.11
936.00;7.90
939.00;9.05
942.00;7.43
945.00;7.06
948.00;7.57
951.00;7.69
954.00;7.15
957.00;6.95
960.00;7.04
963.00;8.38
966.00;7.92
969.00;7.70
972.00;6.76
975.00;6.59
978.00;6.96
981.00;7.30
984.00;6.55
987.00;6.81
990.00;6.75
993.00;6.35
996.00;6.12
999.00;8.11
1002.00;7.17
1005.00;7.71
1008.00;7.41
1011.00;6.86
1014.00;7.00
1017.00;8.31
1020.00;6.43
1023.00;6.32
1026.00;6.18
1029.00;6.38
1032.00;6.59
1035.00;6.87
1038.00;6.33
1041.00;6.87
1044.00;6.39
1047.00;7.91
1050.00;6.24
1053.00;6.99
1056.00;5.17
1059.00;5.12
1062.00;5.87
1065.00;5.65
1068.00;4.90
1071.00;5.72
1074.00;5.19
1077.00;5.00
1080.00;5.05
1083.00;5.31
1086.00;5.48
1089.00;4.71
1092.00;3.43
1095.00;4.96
1098.00;4.72
1101.00;4.00
1104.00;4.76
1107.00;5.29
1110.00;5.04
1113.00;4.79
1116.00;5.36
1119.00;4.92
1122.00;3.53
1125.00;4.60
1128.00;3.92
1131.00;4.06
1134.00;5.29
1137.00;4.51
1140.00;3.16
1143.00;3.65
1146.00;3.56
1149.00;2.71
1152.00;3.34
1155.00;3.66
1158.00;4.03
1161.00;3.84
1164.00;4.12
1167.00;4.16
1170.00;4.51
1173.00;6.07
1176.00;4.58
1179.00;4.75
1182.00;5.61
1185.00;5.77
1188.00;4.17
1191.00;4.55
1194.00;4.78
1197.00;4.65
