Time(s);IntInt
0.00;27.32
3.00;27.69
6.00;28.70
9.00;29.62
12.00;27.75
15.00;28.56
18.00;29.14
21.00;27.67
24.00;28.33
27.00;30.84
30.00;31.64
33.00;32.27
36.00;33.32
39.00;33.11
42.00;32.69
45.00;33.73
48.00;30.87
51.00;34.37
54.00;32.76
57.00;30.36
60.00;34.84
63.00;35.22
66.00;33.38
69.00;36.42
72.00;31.50
75.00;34.89
78.00;35.32
81.00;41.37
84.00;41.20
87.00;38.34
90.00;41.30
93.00;41.61
96.00;37.78
99.00;34.66
102.00;35.96
105.00;35.73
108.00;40.19
111.00;39.25
114.00;40.64
117.00;39.33
120.00;41.19
123.00;36.58
126.00;35.13
129.00;36.96
132.00;34.24
135.00;35.96
138.00;33.96
141.00;34.75
144.00;37.03
147.00;32.35
150.00;31.80
153.00;35.54
156.00;35.46
159.00;35.96
162.00;35.36
165.00;39.99
168.00;44.60
171.00;44.31
174.00;44.27
177.00;46.71
180.00;44.30
183.00;51.83
186.00;54.51
189.00;53.69
192.00;52.68
195.00;53.53
198.00;54.12
201.00;55.96
204.00;59.22
207.00;56.13
210.00;59.19
213.00;66.65
216.00;66.71
219.00;67.44
222.00;62.91
225.00;70.04
228.00;59.69
231.00;66.72
234.00;67.63
237.00;67.56
240.00;63.92
243.00;62.72
246.00;61.16
249.00;60.78
252.00;65.10
255.00;61.98
258.00;54.42
261.00;65.13
264.00;58.47
267.00;63.48
270.00;54.22
273.00;54.45
276.00;50.62
279.00;57.58
282.00;58.50
285.00;56.10
288.00;55.92
291.00;57.22
294.00;54.34
297.00;50.08
300.00;50.13
303.00;51.75
306.00;49.24
309.00;46.49
312.00;53.53
315.00;51.68
318.00;50.79
321.00;45.44
324.00;42.09
327.00;45.47
330.00;49.63
333.00;50.19
336.00;49.69
339.00;48.63
342.00;42.20
345.00;34.73
348.00;37.98
351.00;42.02
354.00;35.92
357.00;36.37
360.00;37.05
363.00;40.45
366.00;40.37
369.00;34.93
372.00;34.89
375.00;38.81
378.00;34.73
381.00;34.57
384.00;32.17
387.00;30.93
390.00;26.83
393.00;25.26
396.00;19.09
399.00;19.13
402.00;14.89
405.00;11.65
408.00;14.65
411.00;13.69
414.00;11.09
417.00;10.08
420.00;9.29
423.00;9.59
426.00;10.40
429.00;9.81
432.00;9.83
435.00;13.08
438.00;10.46
441.00;12.09
444.00;11.48
447.00;13.78
450.00;12.00
453.00;12.50
456.00;10.70
459.00;12.01
462.00;11.01
465.00;14.07
468.00;12.95
471.00;13.70
474.00;13.18
477.00;9.55
480.00;9.93
483.00;13.86
486.00;10.45
489.00;13.20
492.00;13.96
495.00;16.31
498.00;15.54
501.00;16.35
504.00;15.23
507.00;21.24
510.00;16.72
513.00;18.90
516.00;22.71
519.00;19.31
522.00;15.90
525.00;18.06
528.00;15.57
531.00;16.02
534.00;16.42
537.00;18.97
540.00;25.13
543.00;18.93
546.00;21.96
549.00;19.52
552.00;19.19
555.00;18.72
558.00;17.86
561.00;19.42
564.00;18.92
567.00;21.07
570.00;19.88
573.00;23.38
576.00;20.87
579.00;20.78
582.00;23.49
585.00;19.95
588.00;18.90
591.00;18.70
594.00;17.03
597.00;18.26
600.00;17.10
603.00;19.34
606.00;20.43
609.00;22.72
612.00;16.22
615.00;16.58
618.00;18.01
621.00;19.06
624.00;21.10
627.00;25.12
630.00;22.19
633.00;22.73
636.00;21.45
639.00;20.93
642.00;22.33
645.00;24.36
648.00;27.16
651.00;23.88
654.00;26.54
657.00;25.84
660.00;25.27
663.00;23.62
666.00;22.60
669.00;18.98
672.00;24.37
675.00;21.73
678.00;22.42
681.00;20.58
684.00;21.17
687.00;18.69
690.00;17.50
693.00;19.60
696.00;20.27
699.00;16.16
702.00;18.27
705.00;14.15
708.00;15.73
711.00;11.51
714.00;12.19
717.00;11.88
720.00;10.12
723.00;9.82
726.00;10.85
729.00;10.21
732.00;12.21
735.00;8.43
738.00;12.13
741.00;10.46
744.00;12.39
747.00;10.67
750.00;10.75
753.00;11.09
756.00;7.93
759.00;13.01
762.00;10.28
765.00;6.60
768.00;9.01
771.00;6.85
774.00;7.22
777.00;8.26
780.00;7.67
783.00;6.22
786.00;7.60
789.00;8.76
792.00;7.00
795.00;10.21
798.00;9.79
801.00;8.24
804.00;8.76
807.00;4.25
810.00;6.77
813.00;7.75
816.00;6.36
819.00;6.71
822.00;3.78
825.00;6.97
828.00;5.28
831.00;6.07
834.00;4.85
837.00;4.60
840.00;2.44
843.00;3.51
846.00;1.59
849.00;1.07
852.00;1.33
855.00;1.61
858.00;1.90
861.00;1.30
864.00;0.57
867.00;0.00
870.00;0.00
873.00;0.10
