Time(s);IntInt
0.00;31.16
3.00;32.14
6.00;27.32
9.00;34.13
12.00;31.88
15.00;29.50
18.00;28.96
21.00;31.58
24.00;29.07
27.00;34.57
30.00;30.03
33.00;33.21
36.00;31.83
39.00;33.63
42.00;34.53
45.00;34.52
48.00;33.06
51.00;32.49
54.00;31.10
57.00;37.02
60.00;31.53
63.00;37.89
66.00;33.96
69.00;35.54
72.00;36.67
75.00;33.37
78.00;33.89
81.00;35.61
84.00;37.31
87.00;37.07
90.00;36.01
93.00;39.08
96.00;37.71
99.00;37.96
102.00;40.17
105.00;40.85
108.00;46.55
111.00;43.85
114.00;43.29
117.00;38.57
120.00;36.04
123.00;40.51
126.00;37.26
129.00;41.06
132.00;33.38
135.00;35.18
138.00;32.16
141.00;32.23
144.00;33.90
147.00;37.24
150.00;33.14
153.00;31.79
156.00;24.81
159.00;32.67
162.00;32.34
165.00;28.19
168.00;26.52
171.00;26.05
174.00;31.10
177.00;30.88
180.00;26.56
183.00;26.22
186.00;25.27
189.00;26.29
192.00;20.28
195.00;22.42
198.00;20.11
201.00;22.02
204.00;21.11
207.00;23.29
210.00;17.66
213.00;18.72
216.00;21.94
219.00;18.59
222.00;23.60
225.00;23.04
228.00;21.18
231.00;20.43
234.00;21.74
237.00;20.84
240.00;18.35
243.00;21.10
246.00;19.47
249.00;19.58
252.00;20.81
255.00;16.43
258.00;20.76
261.00;20.66
264.00;20.07
267.00;19.31
270.00;19.45
273.00;22.05
276.00;23.28
279.00;20.01
282.00;24.72
285.00;23.83
288.00;23.42
291.00;22.40
294.00;26.57
297.00;24.13
300.00;24.57
303.00;21.77
306.00;26.96
309.00;27.48
312.00;21.85
315.00;23.02
318.00;21.17
321.00;20.16
324.00;20.96
327.00;24.61
330.00;21.00
333.00;22.98
336.00;22.30
339.00;20.10
342.00;25.30
345.00;23.14
348.00;25.28
351.00;26.38
354.00;27.94
357.00;23.32
360.00;27.66
363.00;24.68
366.00;26.07
369.00;27.48
372.00;26.48
375.00;27.11
378.00;27.12
381.00;27.28
384.00;28.63
387.00;26.28
390.00;22.29
393.00;23.26
396.00;20.58
399.00;22.72
402.00;22.66
405.00;19.46
408.00;23.51
411.00;21.64
414.00;22.71
417.00;22.66
420.00;21.04
423.00;22.90
426.00;25.06
429.00;24.17
432.00;26.78
435.00;24.81
438.00;28.26
441.00;28.09
444.00;29.21
447.00;30.11
450.00;29.84
453.00;30.05
456.00;34.72
459.00;31.75
462.00;32.01
465.00;33.24
468.00;36.38
471.00;34.87
474.00;35.34
477.00;33.40
480.00;37.91
483.00;38.35
486.00;34.02
489.00;30.25
492.00;32.00
495.00;31.24
498.00;30.63
501.00;36.74
504.00;34.37
507.00;35.83
510.00;37.30
513.00;41.12
516.00;33.61
519.00;36.72
522.00;33.11
525.00;37.99
528.00;36.15
531.00;37.43
534.00;35.87
537.00;34.98
540.00;36.38
543.00;30.23
546.00;35.58
549.00;37.95
552.00;43.48
555.00;35.26
558.00;35.73
561.00;35.56
564.00;39.08
567.00;34.76
570.00;43.96
573.00;39.89
576.00;42.09
579.00;39.68
582.00;40.94
585.00;41.65
588.00;38.73
591.00;39.61
594.00;39.51
597.00;35.42
600.00;43.86
603.00;38.99
606.00;44.15
609.00;37.00
612.00;38.02
615.00;33.66
618.00;35.91
621.00;38.66
624.00;36.63
627.00;34.73
630.00;35.11
633.00;29.98
636.00;34.65
639.00;34.45
642.00;34.32
645.00;36.14
