Time(s);IntInt
0.00;11.47
3.00;12.11
6.00;12.01
9.00;11.46
12.00;11.48
15.00;11.75
18.00;12.41
21.00;11.10
24.00;12.40
27.00;12.58
30.00;12.56
33.00;14.42
36.00;14.06
39.00;14.25
42.00;15.10
45.00;14.04
48.00;14.62
51.00;17.10
54.00;15.60
57.00;17.60
60.00;17.78
63.00;16.84
66.00;19.48
69.00;19.46
72.00;17.79
75.00;19.33
78.00;20.50
81.00;18.56
84.00;20.54
87.00;20.88
90.00;20.58
93.00;20.39
96.00;20.47
99.00;20.34
102.00;19.43
105.00;21.73
108.00;19.48
111.00;21.09
114.00;22.95
117.00;22.17
120.00;21.78
123.00;20.09
126.00;22.29
129.00;22.20
132.00;21.71
135.00;22.26
138.00;21.72
141.00;20.22
144.00;20.74
147.00;19.76
150.00;21.53
153.00;19.86
156.00;18.18
159.00;18.09
162.00;19.25
165.00;19.88
168.00;20.33
171.00;19.91
174.00;21.05
177.00;20.69
180.00;18.36
183.00;21.71
186.00;20.59
189.00;21.01
192.00;20.92
195.00;21.09
198.00;20.60
201.00;22.62
204.00;22.55
207.00;22.64
210.00;20.05
213.00;20.57
216.00;20.18
219.00;19.86
222.00;19.83
225.00;18.69
228.00;18.02
231.00;18.85
234.00;16.97
237.00;17.76
240.00;17.94
243.00;19.03
246.00;18.33
249.00;19.10
252.00;17.03
255.00;15.33
258.00;16.27
261.00;18.36
264.00;17.04
267.00;14.84
270.00;13.90
273.00;14.07
276.00;14.61
279.00;15.56
282.00;14.97
285.00;13.41
288.00;12.88
291.00;13.70
294.00;15.28
297.00;13.42
300.00;13.50
303.00;13.44
306.00;14.36
309.00;14.29
312.00;14.07
315.00;10.85
318.00;11.10
321.00;11.35
324.00;11.66
327.00;9.87
330.00;9.08
333.00;8.20
336.00;8.81
339.00;8.04
342.00;9.12
345.00;8.93
348.00;11.08
351.00;8.86
354.00;9.51
357.00;9.60
360.00;9.77
363.00;10.30
366.00;8.53
369.00;9.60
372.00;9.31
375.00;8.30
378.00;8.26
381.00;8.17
384.00;7.97
387.00;8.68
390.00;8.54
393.00;9.60
396.00;9.71
399.00;8.91
402.00;9.62
405.00;9.18
408.00;10.12
411.00;10.32
414.00;10.18
417.00;9.81
420.00;10.79
423.00;10.89
426.00;11.32
429.00;10.37
432.00;10.08
435.00;9.70
438.00;10.85
441.00;10.38
444.00;10.92
447.00;10.88
450.00;10.04
453.00;10.68
456.00;10.40
459.00;9.83
462.00;9.33
465.00;8.49
468.00;8.48
471.00;8.84
474.00;8.78
477.00;9.66
480.00;9.60
483.00;9.60
486.00;9.17
489.00;8.03
492.00;8.54
495.00;6.24
498.00;6.33
501.00;5.31
504.00;5.21
507.00;5.69
510.00;5.62
513.00;4.84
516.00;4.14
519.00;3.72
522.00;3.75
525.00;4.94
528.00;5.18
531.00;4.43
534.00;5.42
