Time(s);IntInt
0.00;13.85
3.00;14.76
6.00;13.69
9.00;15.30
12.00;15.42
15.00;13.24
18.00;12.71
21.00;9.81
24.00;8.94
27.00;9.39
30.00;11.84
33.00;10.43
36.00;10.44
39.00;10.73
42.00;10.94
45.00;7.47
48.00;6.99
51.00;7.79
54.00;6.96
57.00;7.98
60.00;8.40
63.00;8.81
66.00;7.92
69.00;7.71
72.00;6.39
75.00;5.94
78.00;8.24
81.00;6.79
84.00;5.35
87.00;5.26
90.00;7.36
93.00;5.73
96.00;5.74
99.00;5.26
102.00;6.23
105.00;6.14
108.00;4.69
111.00;4.89
114.00;4.78
117.00;3.99
120.00;4.94
123.00;4.42
126.00;5.27
129.00;4.87
132.00;5.39
135.00;5.34
138.00;3.96
141.00;4.70
144.00;2.41
147.00;4.87
150.00;4.58
153.00;4.95
156.00;4.95
159.00;5.20
162.00;5.10
165.00;4.53
168.00;4.36
171.00;4.90
174.00;4.23
177.00;4.21
180.00;5.50
183.00;4.73
186.00;4.30
189.00;5.16
192.00;4.36
195.00;5.08
198.00;4.69
201.00;4.34
204.00;6.23
207.00;4.19
210.00;4.93
213.00;4.79
216.00;4.82
219.00;6.04
222.00;5.17
225.00;5.76
228.00;4.79
231.00;6.05
234.00;5.04
237.00;5.48
240.00;5.44
243.00;6.21
246.00;5.12
249.00;5.38
252.00;5.08
255.00;5.38
258.00;6.42
261.00;5.22
264.00;5.04
267.00;6.41
270.00;6.52
273.00;8.01
276.00;7.96
279.00;5.67
282.00;5.18
285.00;5.75
288.00;6.15
291.00;3.60
294.00;3.45
297.00;4.82
300.00;4.95
303.00;4.11
306.00;4.21
309.00;3.78
312.00;4.51
315.00;4.84
318.00;5.88
321.00;4.69
324.00;5.29
327.00;4.61
330.00;4.90
333.00;5.96
336.00;5.63
339.00;5.59
342.00;5.45
345.00;6.19
348.00;5.59
351.00;4.01
354.00;4.27
357.00;3.36
360.00;4.68
363.00;4.43
366.00;5.18
369.00;6.07
372.00;4.95
375.00;4.55
378.00;4.24
381.00;5.04
384.00;5.21
387.00;5.27
390.00;4.74
393.00;5.56
396.00;3.79
399.00;4.32
402.00;4.37
405.00;5.99
408.00;5.78
411.00;4.24
414.00;5.26
417.00;4.54
420.00;5.42
423.00;5.58
426.00;5.56
429.00;5.02
432.00;5.17
435.00;3.68
438.00;3.91
441.00;3.85
444.00;4.02
447.00;4.34
450.00;3.50
453.00;4.79
456.00;4.53
459.00;4.66
462.00;4.84
465.00;5.56
468.00;4.58
471.00;5.08
474.00;5.30
477.00;5.66
480.00;6.04
483.00;5.75
486.00;4.40
489.00;6.28
492.00;6.72
495.00;6.02
498.00;6.39
501.00;7.04
504.00;7.39
507.00;6.49
510.00;7.82
513.00;7.99
516.00;8.26
519.00;7.07
522.00;8.19
525.00;7.94
528.00;8.08
531.00;9.74
534.00;9.77
537.00;9.43
540.00;8.22
543.00;9.30
546.00;8.73
549.00;8.79
552.00;8.41
555.00;8.48
558.00;8.55
561.00;7.22
564.00;6.82
567.00;7.06
570.00;7.35
573.00;7.78
576.00;8.72
579.00;7.46
582.00;8.28
585.00;8.16
588.00;4.90
591.00;6.96
594.00;5.85
597.00;6.55
600.00;6.33
603.00;3.58
606.00;6.05
609.00;5.69
612.00;5.26
615.00;6.22
618.00;5.58
621.00;6.08
624.00;4.88
627.00;6.89
630.00;5.30
633.00;6.11
636.00;7.62
639.00;6.52
642.00;5.87
645.00;5.53
648.00;7.65
651.00;4.85
654.00;4.83
657.00;4.64
660.00;4.20
663.00;4.62
666.00;4.88
669.00;4.20
672.00;6.44
675.00;5.14
678.00;5.47
681.00;5.66
684.00;5.25
687.00;5.72
690.00;3.47
693.00;2.06
696.00;3.09
699.00;4.51
702.00;4.14
705.00;3.61
708.00;3.54
711.00;3.75
714.00;2.87
717.00;2.21
720.00;2.61
723.00;2.75
726.00;4.32
729.00;2.94
732.00;4.31
735.00;3.05
738.00;2.86
741.00;3.14
744.00;3.51
747.00;2.79
750.00;2.43
753.00;3.33
756.00;3.16
759.00;2.37
762.00;3.03
765.00;5.53
768.00;4.17
771.00;3.10
774.00;2.88
777.00;4.17
780.00;4.07
783.00;3.73
786.00;3.00
789.00;2.74
792.00;3.03
795.00;3.36
798.00;2.67
801.00;4.13
804.00;1.69
807.00;4.00
810.00;2.57
813.00;4.02
816.00;3.63
819.00;2.76
822.00;3.71
825.00;4.48
828.00;4.01
831.00;3.55
834.00;3.09
837.00;2.68
840.00;4.82
843.00;3.54
846.00;3.07
849.00;3.20
852.00;3.35
855.00;4.27
858.00;3.43
861.00;4.38
864.00;3.97
867.00;3.28
870.00;4.26
873.00;3.44
876.00;3.48
879.00;3.86
882.00;3.24
885.00;3.02
888.00;4.30
891.00;3.38
894.00;3.35
897.00;4.03
900.00;3.20
903.00;3.20
906.00;4.01
909.00;3.20
912.00;3.68
915.00;4.32
918.00;4.31
921.00;3.72
924.00;4.43
927.00;4.43
930.00;4.05
933.00;4.11
936.00;4.27
939.00;4.09
