Time(s);IntInt
0.00;11.75
3.00;11.39
6.00;11.05
9.00;12.23
12.00;11.50
15.00;11.24
18.00;11.14
21.00;11.04
24.00;11.36
27.00;10.59
30.00;11.16
33.00;11.74
36.00;12.31
39.00;10.57
42.00;10.63
45.00;9.06
48.00;10.74
51.00;9.63
54.00;8.52
57.00;10.06
60.00;12.13
63.00;11.95
66.00;13.07
69.00;10.57
72.00;11.41
75.00;9.85
78.00;16.46
81.00;12.67
84.00;16.30
87.00;12.49
90.00;14.51
93.00;13.74
96.00;13.10
99.00;12.13
102.00;12.16
105.00;12.64
108.00;12.85
111.00;9.82
114.00;11.42
117.00;10.93
120.00;12.04
123.00;9.48
126.00;11.73
129.00;9.35
132.00;14.01
135.00;12.93
138.00;15.92
141.00;11.67
144.00;12.43
147.00;11.58
150.00;13.02
153.00;14.27
156.00;14.69
159.00;10.78
162.00;13.48
165.00;12.33
168.00;13.66
171.00;15.81
174.00;15.91
177.00;17.78
180.00;9.94
183.00;12.09
186.00;11.36
189.00;12.09
192.00;11.90
195.00;11.00
198.00;11.29
201.00;10.86
204.00;13.59
207.00;14.64
210.00;13.70
213.00;12.69
216.00;16.41
219.00;13.69
222.00;14.06
225.00;17.74
228.00;16.43
231.00;17.02
234.00;18.01
237.00;16.54
240.00;16.48
243.00;14.34
246.00;14.73
249.00;15.16
252.00;15.19
255.00;14.45
258.00;16.25
261.00;15.66
264.00;19.19
267.00;14.81
270.00;16.84
273.00;19.73
276.00;21.21
279.00;17.53
282.00;17.17
285.00;22.90
288.00;19.03
291.00;24.99
294.00;19.77
297.00;19.77
300.00;18.96
303.00;18.89
306.00;22.01
309.00;17.34
312.00;12.86
315.00;19.28
318.00;17.31
321.00;18.83
324.00;16.79
327.00;16.98
330.00;15.67
333.00;14.23
336.00;15.48
339.00;22.65
342.00;16.67
345.00;20.49
348.00;20.49
351.00;16.48
354.00;21.95
357.00;17.72
360.00;16.75
363.00;22.68
366.00;25.01
369.00;22.83
372.00;20.72
375.00;23.26
378.00;25.88
381.00;22.48
384.00;33.11
387.00;23.57
390.00;23.75
393.00;28.76
396.00;22.91
399.00;24.76
402.00;15.51
405.00;19.80
408.00;13.99
411.00;18.41
414.00;15.15
417.00;16.67
420.00;6.72
423.00;7.53
426.00;8.83
429.00;13.88
432.00;11.01
435.00;10.86
438.00;12.12
441.00;11.58
444.00;6.87
447.00;8.91
450.00;6.18
